block_size_bits,arity_cap,codec_family,pass,seed_depth_bits,log2_seed_count,bits_before,bits_after,percent_raw,accepted_replacements,gain_p50,gain_p90,gain_p99,max_gain,superposed_retained,superposed_converted,shuffle_refresh,metadata_bits
24,5,ext1,3,16,16,323842,323827,112.4511,5.88,2,5,8,20,0.2,2.992e-05,1.0,32
24,5,ext1,4,16,16,323824,323810,112.4506,5.89,2,5,8,20,0.2,3.324e-05,1.0,48
24,5,ext1,5,16,16,323807,323792,112.4500,5.89,2,5,8,20,0.2,3.656e-05,1.0,64
24,5,ext1,6,16,16,323789,323774,112.4494,5.89,2,5,8,20,0.2,3.987e-05,1.0,80
24,5,ext1,7,16,16,323771,323756,112.4488,5.90,2,5,8,20,0.2,4.319e-05,1.0,96
24,5,ext1,8,16,16,323753,323739,112.4482,5.90,2,5,8,20,0.2,4.651e-05,1.0,112
24,5,ext1,1,32,32,288000,323857,112.4504,,,,,,,,1.0,0
24,5,ext1,2,32,32,323857,323843,112.4509,5.88,2,5,8,22,2648.4,1.062e-02,1.0,16
24,5,ext1,3,32,32,323840,323825,112.4503,5.89,2,5,8,22,2648.4,1.062e-02,1.0,32
24,5,ext1,4,32,32,323822,323807,112.4497,5.89,2,5,8,22,2648.4,1.063e-02,1.0,48
24,5,ext1,5,32,32,323804,323789,112.4491,5.89,2,5,8,22,2648.4,1.063e-02,1.0,64
24,5,ext1,6,32,32,323786,323772,112.4485,5.90,2,5,8,22,2648.4,1.064e-02,1.0,80
24,5,ext1,7,32,32,323769,323754,112.4479,5.90,2,5,8,22,2648.4,1.064e-02,1.0,96
24,5,ext1,8,32,32,323751,323736,112.4473,5.90,2,5,8,22,2648.4,1.065e-02,1.0,112
24,5,ext1,1,128,128,288000,316905,110.0366,,,,,,,,1.0,0
24,5,ext1,2,128,128,316905,316905,110.0418,0.37,2,4,7,20,108.1,1.963e-04,1.0,16
24,5,ext1,3,128,128,316898,316898,110.0450,0.37,2,4,7,20,108.2,1.963e-04,1.0,32
24,5,ext1,4,128,128,316892,316891,110.0482,0.37,2,4,7,20,108.2,1.963e-04,1.0,48
24,5,ext1,5,128,128,316885,316884,110.0514,0.37,2,4,7,20,108.2,1.964e-04,1.0,64
24,5,ext1,6,128,128,316878,316877,110.0546,0.37,2,4,7,20,108.2,1.964e-04,1.0,80
24,5,ext1,7,128,128,316871,316870,110.0578,0.37,2,4,7,20,108.2,1.965e-04,1.0,96
24,5,ext1,8,128,128,316864,316863,110.0609,0.37,2,4,7,20,108.2,1.965e-04,1.0,112
24,5,ext1,1,1024,1024,288000,316905,110.0366,,,,,,,,1.0,0
24,5,ext1,2,1024,1024,316905,316904,110.0417,0.61,2,4,7,20,108.1,5.129e-04,1.0,16
24,5,ext1,3,1024,1024,316898,316896,110.0445,0.61,2,4,7,20,108.1,5.128e-04,1.0,32
24,5,ext1,4,1024,1024,316890,316888,110.0474,0.61,2,4,7,20,108.1,5.128e-04,1.0,48
24,5,ext1,5,1024,1024,316882,316881,110.0502,0.61,2,4,7,20,108.1,5.127e-04,1.0,64
24,5,ext1,6,1024,1024,316874,316873,110.0531,0.61,2,4,7,20,108.1,5.126e-04,1.0,80
24,5,ext1,7,1024,1024,316866,316865,110.0559,0.61,2,4,7,20,108.1,5.125e-04,1.0,96
24,5,ext1,8,1024,1024,316858,316857,110.0587,0.61,2,4,7,20,108.1,5.124e-04,1.0,112
24,5,ext1,1,24000,24000,288000,316905,110.0366,,,,,,,,1.0,0
24,5,ext1,2,24000,24000,316905,316904,110.0417,0.61,2,4,7,20,108.1,5.129e-04,1.0,16
24,5,ext1,3,24000,24000,316898,316896,110.0445,0.61,2,4,7,20,108.1,5.129e-04,1.0,32
24,5,ext1,4,24000,24000,316890,316888,110.0474,0.61,2,4,7,20,108.1,5.128e-04,1.0,48
24,5,ext1,5,24000,24000,316882,316881,110.0502,0.61,2,4,7,20,108.1,5.127e-04,1.0,64
24,5,ext1,6,24000,24000,316874,316873,110.0531,0.61,2,4,7,20,108.1,5.126e-04,1.0,80
24,5,ext1,7,24000,24000,316866,316865,110.0559,0.61,2,4,7,20,108.1,5.125e-04,1.0,96
24,5,ext1,8,24000,24000,316858,316857,110.0587,0.61,2,4,7,20,108.1,5.124e-04,1.0,112
24,16,ext1,1,16,16,288000,323860,112.4513,,,,,,,,1.0,0
24,16,ext1,2,16,16,323860,323845,112.4517,5.88,2,5,8,20,0.1,2.660e-05,1.0,16
24,16,ext1,3,16,16,323842,323827,112.4511,5.88,2,5,8,20,0.2,2.992e-05,1.0,32
24,16,ext1,4,16,16,323824,323810,112.4506,5.89,2,5,8,20,0.2,3.324e-05,1.0,48
24,16,ext1,5,16,16,323807,323792,112.4500,5.89,2,5,8,20,0.2,3.656e-05,1.0,64
24,16,ext1,6,16,16,323789,323774,112.4494,5.89,2,5,8,20,0.2,3.987e-05,1.0,80
24,16,ext1,7,16,16,323771,323756,112.4488,5.90,2,5,8,20,0.2,4.319e-05,1.0,96
24,16,ext1,8,16,16,323753,323739,112.4482,5.90,2,5,8,20,0.2,4.651e-05,1.0,112
24,16,ext1,1,32,32,288000,323857,112.4504,,,,,,,,1.0,0
24,16,ext1,2,32,32,323857,323843,112.4509,5.88,2,5,8,22,2648.4,1.062e-02,1.0,16
24,16,ext1,3,32,32,323840,323825,112.4503,5.89,2,5,8,22,2648.4,1.062e-02,1.0,32
24,16,ext1,4,32,32,323822,323807,112.4497,5.89,2,5,8,22,2648.4,1.063e-02,1.0,48
24,16,ext1,5,32,32,323804,323789,112.4491,5.89,2,5,8,22,2648.4,1.063e-02,1.0,64
